,link,text,user,likes,quotes,retweets,comments,date
0,https://twitter.com/elonmusk/status/1824571630611251681#m,Try Grok 2!,Elon Musk,50814,548,7337,11590,"Aug 16, 2024 · 10:19 PM UTC"
1,https://twitter.com/elonmusk/status/1825786899014844702#m,Amazing,Elon Musk,14076,128,2672,1827,"Aug 20, 2024 · 6:48 AM UTC"
2,https://twitter.com/elonmusk/status/1825778823205380347#m,Why not fix it right now? 🤷‍♂️,Elon Musk,39216,208,4825,3253,"Aug 20, 2024 · 6:16 AM UTC"
3,https://twitter.com/elonmusk/status/1825768840090836999#m,"From the standpoint of the faaaaaar left, this platform is far right, but it’s actually just centrist",Elon Musk,28917,262,4112,3263,"Aug 20, 2024 · 5:36 AM UTC"
4,https://twitter.com/elonmusk/status/1825743803765895540#m,🕺🕺🔫🔫🔫🔫🔫🔫🔫🔫🔫🔫🕺🕺,Elon Musk,58148,650,4333,6632,"Aug 20, 2024 · 3:56 AM UTC"
5,https://twitter.com/elonmusk/status/1825743161076875773#m,The gun emoji being nerfed in ~2016 marked the ascendance of woke_mind_virus.mp3.exe,Elon Musk,66134,389,5176,3743,"Aug 20, 2024 · 3:54 AM UTC"
6,https://twitter.com/elonmusk/status/1825741761039241475#m,When Snopes knows it’s a hoax,Elon Musk,55644,398,12888,3079,"Aug 20, 2024 · 3:48 AM UTC"
7,https://twitter.com/elonmusk/status/1825738817275383950#m,The Moon looks amazing,Elon Musk,69515,350,6815,4573,"Aug 20, 2024 · 3:37 AM UTC"
8,https://twitter.com/elonmusk/status/1825723913051000851#m,I am willing to serve,Elon Musk,389353,4831,40334,22680,"Aug 20, 2024 · 2:37 AM UTC"
9,https://twitter.com/elonmusk/status/1825715527446155288#m,Sometimes I wonder if I’m too defiant,Elon Musk,99947,1909,6756,26552,"Aug 20, 2024 · 2:04 AM UTC"
10,https://twitter.com/elonmusk/status/1825713908067479735#m,Perfect name,Elon Musk,51238,283,5464,2842,"Aug 20, 2024 · 1:58 AM UTC"
11,https://twitter.com/elonmusk/status/1825713065985188224#m,Request a Community Note!,Elon Musk,18254,113,2297,1872,"Aug 20, 2024 · 1:54 AM UTC"
12,https://twitter.com/elonmusk/status/1825559831132172668#m,True,Elon Musk,41561,271,4909,5141,"Aug 19, 2024 · 3:45 PM UTC"
13,https://twitter.com/elonmusk/status/1825558840336920868#m,“Operation Orwell” more like it,Elon Musk,260601,2346,63376,12624,"Aug 19, 2024 · 3:41 PM UTC"
14,https://twitter.com/elonmusk/status/1825558181839618531#m,A reminder that free speech in America is special and we need to do everything possible to preserve it,Elon Musk,191568,1198,36957,9108,"Aug 19, 2024 · 3:39 PM UTC"
15,https://twitter.com/elonmusk/status/1825557632939339836#m,Starlink is an excellent product,Elon Musk,54023,239,6856,3402,"Aug 19, 2024 · 3:37 PM UTC"
16,https://twitter.com/elonmusk/status/1825555726489800867#m,The UK is turning into a police state,Elon Musk,211217,1700,43049,12459,"Aug 19, 2024 · 3:29 PM UTC"
17,https://twitter.com/ajtourville/status/1825501943604859059#m,Happy National Aviation Day!  How it started                                How it's going,ALEX,12908,83,1604,474,"Aug 19, 2024 · 11:55 AM UTC"
18,https://twitter.com/SawyerMerritt/status/1825547978074968502#m,"Next week, 434 miles above the Earth, @rookisaacman will attempt the first-ever private spacewalk.  The Polaris Dawn crew of four will be the first crew to test Starlink in space. They will be riding in a SpaceX Dragon capsule, with next generation SpaceX-designed EVA spacesuits. It uses new materials & joint designs to provide greater flexibility. The helmet has a new visor to reduce glare and a Heads-Up Display.  The dragon capsule will fly as high as the Van Allen radiation belt, 870 miles from Earth’s surface – or more than three times higher than the International Space Station. This will be the highest altitude of any human spaceflight mission in more than a half-century since the Apollo program.",Sawyer Merritt,11937,123,1755,442,"Aug 19, 2024 · 2:58 PM UTC"
19,https://twitter.com/PolarisProgram/status/1825545962322071741#m,Join the Polaris Dawn crew and SpaceX at 1 p.m. ET here on X for a mission overview briefing live from Florida  Learn more about the crew and their upcoming mission → polarisprogram.com/polaris-d…,Polaris,7455,65,1111,450,"Aug 19, 2024 · 2:50 PM UTC"
20,https://twitter.com/Rothmus/status/1825383917236453866#m,🤦‍♂️,Rothmus 🏴,46870,352,11011,1032,"Aug 19, 2024 · 4:06 AM UTC"
21,https://twitter.com/elonmusk/status/1825406718462808247#m,Yeah,Elon Musk,84961,472,11378,6486,"Aug 19, 2024 · 5:37 AM UTC"
22,https://twitter.com/elonmusk/status/1825406519690641663#m,"Grok, are the bots in the room with us now?",Elon Musk,23473,127,1743,1531,"Aug 19, 2024 · 5:36 AM UTC"
23,https://twitter.com/elonmusk/status/1825395243560128667#m,Are you still seeing a lot of bots in replies?,Elon Musk,234783,4748,13961,58068,"Aug 19, 2024 · 4:51 AM UTC"
24,https://twitter.com/elonmusk/status/1825370379910541434#m,How will we ever know what’s real?,Elon Musk,573360,5522,58864,26479,"Aug 19, 2024 · 3:13 AM UTC"
25,https://twitter.com/elonmusk/status/1825363923006017838#m,,Elon Musk,293375,1984,27087,8236,"Aug 19, 2024 · 2:47 AM UTC"
26,https://twitter.com/elonmusk/status/1825352846876839950#m,Room for improvement lol  https://x.com/i/grok/share/6Kc870ZEa7SG0lNxlZbQ4GwaB,Elon Musk,20549,154,2506,2803,"Aug 19, 2024 · 2:03 AM UTC"
27,https://twitter.com/elonmusk/status/1825342542482755845#m,🎯,Elon Musk,112764,761,28082,6016,"Aug 19, 2024 · 1:22 AM UTC"
28,https://twitter.com/elonmusk/status/1825318147974373766#m,First SpaceX spacewalk mission launches in a week. This will be epic.,Elon Musk,91419,426,10949,4323,"Aug 18, 2024 · 11:45 PM UTC"
29,https://twitter.com/elonmusk/status/1825309210977968585#m,,Elon Musk,134400,701,13503,5981,"Aug 18, 2024 · 11:10 PM UTC"
30,https://twitter.com/niccruzpatane/status/1824505537104650309#m,"UPDATED: Since buying our Tesla Model Y Performance in September of 2021, these features have been added all through OTA updates:  • Full-Self Driving  • Track Mode • Cloud profiles • Auto cancelling turn signals • Blind Spot Camera  • Headlights adapt for curves  • Ability to apply brakes when regen is limited  • Preview of Sentry recordings on mobile  • Trip progress bar • Weather forecast & air quality  • Navigate to sub-destinations • Parental controls  • Single pull Autopilot  • Better map route available  • Improvement of MCU2 performance (dash cam, theatre mode, browser) • More efficient Supercharging  • Choreographed light show  • Customizable app launcher • myq Connected Garage  • Improved HW3 camera quality • Ability to edit waypoints  • Ability to add a stop to your route • Alternate routes  • Speed cameras on route  • Map POI’s • Traffic along route • Custom lock sounds  • Drowsiness warning • Dark Mode • Boombox Megaphone • Auto seat heaters  • Auto steering wheel heater • Car wash mode • Sentry Mode live view  • Dog mode Sentry Mode  • Audible  • TIDAL Music  • Apple Music • Apple Podcasts  • Amazon Music • YouTube Music  • Faster backup camera speed  • Ability to adjust charge current via mobile  • More accurate charge times • Tire Configuration  • Tire service mileage  • Scroll wheel customization  • Scroll wheel phone controls  • Gear Chimes  • Reduce Blue light feature  • Auto headlights with wipers • Hazards & Auto 911 calls after crash • Reminder to plug in at home • One-time charge limit   When you own a Tesla, it gets better with age. That is the beauty of constant OTA software updates. The Tesla team is amazing at making your ownership experience feel fresh.",Nic Cruz Patane,10766,136,1667,1046,"Aug 16, 2024 · 5:56 PM UTC"
31,https://twitter.com/Tesla/status/1824573689834180784#m,"Parents –  New Parental Controls give you safety & peace of mind while your teen's out driving  Set max speed limit, reduce acceleration, enable active safety settings & add curfew notifications if the car's driven past 11pm",Tesla,11518,210,1592,949,"Aug 16, 2024 · 10:27 PM UTC"
32,https://twitter.com/elonmusk/status/1825046811456778315#m,Strange days,Elon Musk,176554,1061,40551,10706,"Aug 18, 2024 · 5:47 AM UTC"
33,https://twitter.com/elonmusk/status/1824997390908022785#m,Very important,Elon Musk,120519,475,20463,6583,"Aug 18, 2024 · 2:30 AM UTC"
34,https://twitter.com/DeanUsma/status/1824872789892800885#m,"“Curiosity. Try to read as much as possible. Learn as much as possible in many different fields and apply critical thinking.” - @elonmusk   In the spirit of critical thinking, Mr. Musk spent time with our cadets, staff, and faculty to kick off this year’s academic theme: “The Human and the Machine: Leadership on the Emerging Battlefield.” The conversations focused on the rapidly evolving nature of AI and future warfare  👉 bit.ly/WPAY25THEME",West Point Dean,20264,336,3167,2003,"Aug 17, 2024 · 6:15 PM UTC"
35,https://twitter.com/elonmusk/status/1824891373822304537#m,Exactly,Elon Musk,397107,2452,94401,12049,"Aug 17, 2024 · 7:29 PM UTC"
36,https://twitter.com/elonmusk/status/1824854726657049023#m,"The decision to close the 𝕏 office in Brazil was difficult, but, if we had agreed to @alexandre’s (illegal) secret censorship and private information handover demands, there was no way we could explain our actions without being ashamed.",Elon Musk,660007,6274,93897,28628,"Aug 17, 2024 · 5:04 PM UTC"
37,https://twitter.com/cb_doge/status/1824853124340994532#m,𝕏 is the #1 news app in Brazil on the AppStore.  Alexandre de Moraes is demanding censorship of the only source of truth in Brazil.,DogeDesigner,30610,252,5859,1591,"Aug 17, 2024 · 4:57 PM UTC"
38,https://twitter.com/elonmusk/status/1824849877286703268#m,Accurate conclusion (read the whole post),Elon Musk,146395,1827,38534,9371,"Aug 17, 2024 · 4:44 PM UTC"
39,https://twitter.com/elonmusk/status/1824849651071107207#m,,Elon Musk,15936,50,1742,773,"Aug 17, 2024 · 4:43 PM UTC"
40,https://twitter.com/elonmusk/status/1824849359156171108#m,The resemblance is uncanny 🤣🤣  Alexandre de Voldemort,Elon Musk,596302,4571,68143,17812,"Aug 17, 2024 · 4:42 PM UTC"
41,https://twitter.com/elonmusk/status/1824846946839966127#m,Honored to have been the convocation speaker yesterday at @WestPoint_USMA!,Elon Musk,146666,396,12817,4452,"Aug 17, 2024 · 4:33 PM UTC"
42,https://twitter.com/elonmusk/status/1824843760934552024#m,No question that Moraes needs to leave. Having a “justice” who repeatedly and egregiously violates the law is no justice at all.,Elon Musk,192924,1063,33986,6391,"Aug 17, 2024 · 4:20 PM UTC"
43,https://twitter.com/GlobalAffairs/status/1824838221739782551#m,,Global Government Affairs,26002,252,5711,689,"Aug 17, 2024 · 3:58 PM UTC"
44,https://twitter.com/GlobalAffairs/status/1824819053061669244#m,"Last night, Alexandre de Moraes threatened our legal representative in Brazil with arrest if we do not comply with his censorship orders. He did so in a secret order, which we share here to expose his actions.  Despite our numerous appeals to the Supreme Court not being heard, the Brazilian public not being informed about these orders and our Brazilian staff having no responsibility or control over whether content is blocked on our platform, Moraes has chosen to threaten our staff in Brazil rather than respect the law or due process.  As a result, to protect the safety of our staff, we have made the decision to close our operation in Brazil, effective immediately.  The X service remains available to the people of Brazil. We are deeply saddened that we have been forced to make this decision. The responsibility lies solely with Alexandre de Moraes.  His actions are incompatible with democratic government. The people of Brazil have a choice to make - democracy, or Alexandre de Moraes. — Noite passada, Alexandre de Moraes ameaçou nosso representante legal no Brasil com prisão se não cumprirmos suas ordens de censura. Ele fez isso em uma ordem secreta, que compartilhamos aqui para expor suas ações.  Apesar de nossos inúmeros recursos ao Supremo Tribunal Federal não terem sido ouvidos, de o público brasileiro não ter sido informado sobre essas ordens e de nossa equipe brasileira não ter responsabilidade ou controle sobre o bloqueio de conteúdo em nossa plataforma, Moraes optou por ameaçar nossa equipe no Brasil em vez de respeitar a lei ou o devido processo legal.  Como resultado, para proteger a segurança de nossa equipe, tomamos a decisão de encerrar nossas operações no Brasil, com efeito imediato. O serviço X continua disponível para a população do Brasil.  Estamos profundamente tristes por termos sido forçados a tomar essa decisão. A responsabilidade é exclusivamente de Alexandre de Moraes.  Suas ações são incompatíveis com um governo democrático. O povo brasileiro tem uma escolha a fazer - democracia ou Alexandre de Moraes.",Global Government Affairs,109384,8035,29002,8562,"Aug 17, 2024 · 2:42 PM UTC"
45,https://twitter.com/elonmusk/status/1824839784852013125#m,"Due to demands by “Justice” @Alexandre in Brazil that would require us to break (in secret) Brazilian, Argentinian, American and international law, 𝕏 has no choice but to close our local operations in Brazil.  He is an utter disgrace to justice.",Elon Musk,234576,2674,53487,9342,"Aug 17, 2024 · 4:04 PM UTC"
